billid,status,status_at
s543,REFERRED,2025-02-12
s540,REFERRED,2025-02-12
s541,REFERRED,2025-02-12
s548,REFERRED,2025-02-12
s552,REFERRED,2025-02-12
s545,REFERRED,2025-02-12
s532,REFERRED,2025-02-12
s556,REFERRED,2025-02-12
s551,REFERRED,2025-02-12
s537,REFERRED,2025-02-12
s535,REFERRED,2025-02-12
s533,REFERRED,2025-02-12
s547,REFERRED,2025-02-12
s536,REFERRED,2025-02-12
s549,REFERRED,2025-02-12
s534,REFERRED,2025-02-12
s557,REFERRED,2025-02-12
s555,REFERRED,2025-02-12
s550,REFERRED,2025-02-12
s539,REFERRED,2025-02-12
s542,REFERRED,2025-02-12
s554,REFERRED,2025-02-12
s553,REFERRED,2025-02-12
s538,REFERRED,2025-02-12
s544,REFERRED,2025-02-12
s546,REFERRED,2025-02-12
sres75,REFERRED,2025-02-12
s505,REFERRED,2025-02-11
s521,REFERRED,2025-02-11
s529,REFERRED,2025-02-11
s527,REFERRED,2025-02-11
s528,REFERRED,2025-02-11
s523,REFERRED,2025-02-11
s508,REFERRED,2025-02-11
s520,REFERRED,2025-02-11
s514,REFERRED,2025-02-11
s507,REFERRED,2025-02-11
s526,REFERRED,2025-02-11
s525,REFERRED,2025-02-11
s524,REFERRED,2025-02-11
s510,REFERRED,2025-02-11
s517,REFERRED,2025-02-11
s515,REFERRED,2025-02-11
s519,REFERRED,2025-02-11
s530,REFERRED,2025-02-11
s511,REFERRED,2025-02-11
s506,REFERRED,2025-02-11
s513,REFERRED,2025-02-11
s518,REFERRED,2025-02-11
s522,REFERRED,2025-02-11
s516,REFERRED,2025-02-11
s509,REFERRED,2025-02-11
s531,REFERRED,2025-02-11
s512,REFERRED,2025-02-11
sres72,REFERRED,2025-02-11
s499,REFERRED,2025-02-10
s498,REFERRED,2025-02-10
s501,REFERRED,2025-02-10
s500,REFERRED,2025-02-10
s497,REFERRED,2025-02-10
s495,REFERRED,2025-02-10
s502,REFERRED,2025-02-10
s504,REFERRED,2025-02-10
s492,REFERRED,2025-02-10
s493,REFERRED,2025-02-10
s496,REFERRED,2025-02-10
s494,REFERRED,2025-02-10
s503,REFERRED,2025-02-10
sres68,REFERRED,2025-02-10
s441,REFERRED,2025-02-06
s485,REFERRED,2025-02-06
s476,REFERRED,2025-02-06
s482,REFERRED,2025-02-06
s447,REFERRED,2025-02-06
s451,REFERRED,2025-02-06
s456,REFERRED,2025-02-06
s458,REFERRED,2025-02-06
s489,REFERRED,2025-02-06
s488,REFERRED,2025-02-06
s461,REFERRED,2025-02-06
s465,REFERRED,2025-02-06
s478,REFERRED,2025-02-06
s449,REFERRED,2025-02-06
s463,REFERRED,2025-02-06
s464,REFERRED,2025-02-06
s454,REFERRED,2025-02-06
s448,REFERRED,2025-02-06
s470,REFERRED,2025-02-06
s444,REFERRED,2025-02-06
s459,REFERRED,2025-02-06
s468,REFERRED,2025-02-06
s487,REFERRED,2025-02-06
s440,REFERRED,2025-02-06
s442,REFERRED,2025-02-06
s457,REFERRED,2025-02-06
s472,REFERRED,2025-02-06
s484,REFERRED,2025-02-06
s443,REFERRED,2025-02-06
s477,REFERRED,2025-02-06
s446,REFERRED,2025-02-06
s474,REFERRED,2025-02-06
s460,REFERRED,2025-02-06
s453,REFERRED,2025-02-06
s490,REFERRED,2025-02-06
s445,REFERRED,2025-02-06
s483,REFERRED,2025-02-06
s469,REFERRED,2025-02-06
s479,REFERRED,2025-02-06
s452,REFERRED,2025-02-06
s467,REFERRED,2025-02-06
s475,REFERRED,2025-02-06
s462,REFERRED,2025-02-06
s481,REFERRED,2025-02-06
s480,REFERRED,2025-02-06
s439,REFERRED,2025-02-06
s491,REFERRED,2025-02-06
s466,REFERRED,2025-02-06
s473,REFERRED,2025-02-06
s450,REFERRED,2025-02-06
s486,REFERRED,2025-02-06
s455,REFERRED,2025-02-06
s471,REFERRED,2025-02-06
sres67,REFERRED,2025-02-06
sjres16,REFERRED,2025-02-06
sjres17,REFERRED,2025-02-06
s402,REFERRED,2025-02-05
s435,REFERRED,2025-02-05
s438,REFERRED,2025-02-05
s432,REFERRED,2025-02-05
s429,REFERRED,2025-02-05
s421,REFERRED,2025-02-05
s430,REFERRED,2025-02-05
s418,REFERRED,2025-02-05
s404,REFERRED,2025-02-05
s419,REFERRED,2025-02-05
s409,REFERRED,2025-02-05
s411,REFERRED,2025-02-05
s403,REFERRED,2025-02-05
s412,REFERRED,2025-02-05
